BeamEnergy(MeV)  Angle(deg)  XS(mb/sr)
1418.9000  5.0000  1.1423e+01
1418.9000  5.1000  1.0204e+01
1418.9000  5.2000  9.1237e+00
1418.9000  5.3000  8.1640e+00
1418.9000  5.4000  7.3107e+00
1418.9000  5.5000  6.5511e+00
1418.9000  5.6000  5.8741e+00
1418.9000  5.7000  5.2702e+00
1418.9000  5.8000  4.7310e+00
1418.9000  5.9000  4.2489e+00
1418.9000  6.0000  3.8177e+00
1418.9000  6.1000  3.4316e+00
1418.9000  6.2000  3.0857e+00
1418.9000  6.3000  2.7755e+00
1418.9000  6.4000  2.4972e+00
1418.9000  6.5000  2.2473e+00
1418.9000  6.6000  2.0229e+00
1418.9000  6.7000  1.8212e+00
1418.9000  6.8000  1.6398e+00
1418.9000  6.9000  1.4766e+00
1418.9000  7.0000  1.3297e+00
1418.9000  7.1000  1.1975e+00
1418.9000  7.2000  1.0785e+00
1418.9000  7.3000  9.7125e-01
1418.9000  7.4000  8.7463e-01
1418.9000  7.5000  7.8755e-01
1418.9000  7.6000  7.0906e-01
1418.9000  7.7000  6.3831e-01
1418.9000  7.8000  5.7451e-01
1418.9000  7.9000  5.1699e-01
1418.9000  8.0000  4.6512e-01
1418.9000  8.1000  4.1835e-01
1418.9000  8.2000  3.7618e-01
1418.9000  8.3000  3.3816e-01
1418.9000  8.4000  3.0387e-01
1418.9000  8.5000  2.7296e-01
1418.9000  8.6000  2.4510e-01
1418.9000  8.7000  2.1999e-01
1418.9000  8.8000  1.9737e-01
1418.9000  8.9000  1.7698e-01
1418.9000  9.0000  1.5862e-01
1418.9000  9.1000  1.4209e-01
1418.9000  9.2000  1.2721e-01
1418.9000  9.3000  1.1381e-01
1418.9000  9.4000  1.0177e-01
1418.9000  9.5000  9.0934e-02
1418.9000  9.6000  8.1197e-02
1418.9000  9.7000  7.2449e-02
1418.9000  9.8000  6.4593e-02
1418.9000  9.9000  5.7541e-02
1418.9000  10.0000  5.1216e-02
1418.9000  10.1000  4.5544e-02
1418.9000  10.2000  4.0462e-02
1418.9000  10.3000  3.5912e-02
1418.9000  10.4000  3.1840e-02
1418.9000  10.5000  2.8199e-02
1418.9000  10.6000  2.4946e-02
1418.9000  10.7000  2.2041e-02
1418.9000  10.8000  1.9450e-02
1418.9000  10.9000  1.7140e-02
1418.9000  11.0000  1.5084e-02
1418.9000  11.1000  1.3254e-02
1418.9000  11.2000  1.1628e-02
1418.9000  11.3000  1.0185e-02
1418.9000  11.4000  8.9058e-03
1418.9000  11.5000  7.7727e-03
1418.9000  11.6000  6.7705e-03
1418.9000  11.7000  5.8854e-03
1418.9000  11.8000  5.1047e-03
1418.9000  11.9000  4.4173e-03
1418.9000  12.0000  3.8129e-03
1418.9000  12.1000  3.2824e-03
1418.9000  12.2000  2.8177e-03
1418.9000  12.3000  2.4115e-03
1418.9000  12.4000  2.0570e-03
1418.9000  12.5000  1.7485e-03
1418.9000  12.6000  1.4805e-03
1418.9000  12.7000  1.2485e-03
1418.9000  12.8000  1.0481e-03
1418.9000  12.9000  8.7558e-04
1418.9000  13.0000  7.2757e-04
1418.9000  13.1000  6.0105e-04
1418.9000  13.2000  4.9335e-04
